Slide ID,Act,Slide title,Management message,Question answered,Source report owner,Supporting report(s),Evidence IDs,Evidence status,Quantitative anchor,Recommended existing visual,Visual source,Original artifact path,Claim boundary,Speaker note / intended takeaway,Selection rationale,Visual role,Visual adaptation recommendation
"S01","Act I — Mission and North Star","The project earns aircraft claims through evidence, not promise","Build a trustworthy measurement chain before making detector, tracking, or localization promises.","Why does this project matter?","01_NorthStarAndMotivation_V2.html","06_StatusAndFutureWork_V2.html","NS-004; NS-008","Implemented; Blocked","10 ordered gates; G5–G10 blocked","Figure 2 — Evidence-to-value chain","01_NorthStarAndMotivation_V2.html, Figure 2","01_NorthStarAndMotivation_V2.html","Roadmap and mission framing are not a capability claim.","Open with the governing rule: every later claim must earn its prerequisite evidence.","Sets the management contract before technical detail.","Primary visual","Use the existing figure full-width; crop only the title/legend margin, not the gate sequence."
"S02","Act I — Mission and North Star","Passive HDTV can become a future measurement opportunity","Existing broadcast energy can support a future constrained aircraft measurement; localization is a later multi-measurement use, not the current claim.","What is the eventual value proposition?","01_NorthStarAndMotivation_V2.html","03_AnalysisPipelineAndGateRebuild.html","NS-002; NS-003; NS-005","Investigated","Two receive paths; delay and Doppler coordinates; 6 MHz context","Figure 1 — Conceptual bistatic geometry","01_NorthStarAndMotivation_V2.html, Figure 1","01_NorthStarAndMotivation_V2.html","Conceptual geometry and modeled context are not field detection, tracking, or localization evidence.","Explain the system in one sentence: compare the direct broadcast reference with the scene path to test delay/Doppler hypotheses.","Creates intuitive mission context without overpromising.","Primary visual","Use the existing geometry full-width; retain the conceptual-not-field-data caption boundary."
"S03","Act II — System Made Real","A real receiver-side collection system now exists","The project moved from a concept to a deployed rooftop collection installation with labeled RF paths, a capture station, and independent ADS-B support.","What physical capability has been built?","02_HardwareAndCollection_V4.html","01_NorthStarAndMotivation_V2.html","PH-001; PH-004; PH-006; INF-001","Demonstrated","Five physical deployment evidence views","Figure 1 — Physical deployment montage","02_HardwareAndCollection_V4.html, Figure 1","hardware_photo_inventory.csv","Photos establish deployment, not RF quality, lock, or radar performance.","Use the actual deployment montage; name the N320, antennas, enclosure, capture host, and ADS-B context path from the caption and inventory.","Makes the hardware real without substituting a generic diagram.","Primary visual","Crop the montage to the surveillance Yagi, labeled RF enclosure, and capture station; keep the original caption boundary in speaker notes."
"S04","Act II — System Made Real","A collection is now a reviewable evidence package","Coordinated IQ, ADS-B, logs, metadata, manifest, and replay turn a field session into an inspectable engineering artifact.","What repeatable workflow and evidence infrastructure exist?","02_HardwareAndCollection_V4.html","03_AnalysisPipelineAndGateRebuild.html","WF-001; PKG-001; PKG-003; SYNC-001","Implemented; Demonstrated; Supported Diagnostic","15 IQ parts; one ADS-B gzip; two logs; 18/18 replay artifacts; 0.0-sample lag spread","Figure 6 — Actual collection-package evidence, with Figure 8 traceability detail if needed","02_HardwareAndCollection_V4.html, Figures 6 and 8","file:///C:/Users/pwilliam/agenticProjects/flightTest/captures/yagi-august-data/SurvYagiCaptures/20260827T135456/session_manifest.json","Historical package and saved-baseline replay do not qualify every future collection or establish hardware lock.","Show that the durable asset is a package that can be reopened, audited, and replayed—not merely an IQ file.","Answers what remains if the project ended today.","Primary visual; Secondary visual","Use Figure 6 as the primary visual and crop to the manifest receipt/file group; use Figure 8 only as a small secondary traceability strip."
"S05","Act III — Evidence-First Pipeline","The gate architecture protects later claims","The pipeline refuses to let an attractive map or diagnostic bypass collection, map, detector, tracking, or truth-validation gates.","How does the program prevent premature performance claims?","03_AnalysisPipelineAndGateRebuild.html","01_NorthStarAndMotivation_V2.html; 06_StatusAndFutureWork_V2.html","NS-004; STAT-007","Implemented; Blocked","G1–G10; G8 refuses formal execution and emits no detection table","Figure 1 — Processing chain and gate locations","03_AnalysisPipelineAndGateRebuild.html, Figure 1","file:///C:/Users/pwilliam/agenticProjects/PassiveBistaticRestart/README.md#gate-and-investigation-terminology","Workflow implementation is not a validated aircraft measurement or performance result.","Frame the gates as technical quality controls, not bureaucracy: each one answers a question a later stage cannot repair.","Provides the managerial logic for retaining failures and formal stops.","Primary visual","Crop to the G1–G4-R path, the disabled G8 boundary, and the future-use branch; do not shrink the full diagram below readable label size."
"S06","Act IV — Technical Turning Point","The team repaired an invalid map-rate comparison","The original map-rate result compared unlike map semantics; G4-R rebuilt the comparison around common physical cells and explicit parity.","Why did mitigation and map-rate recovery happen?","04_MitigationAndMapRateRecovery_V2.html","03_AnalysisPipelineAndGateRebuild.html","G4R-001; G4R-002","Investigated; Demonstrated","Corrected R2 correlation 0.9813–0.9853; R1 common-cell error 6.94e-17","Figure 1 — Historical versus corrected map-rate semantics","04_MitigationAndMapRateRecovery_V2.html, Figure 1","file:///C:/Users/pwilliam/agenticProjects/PassiveBistaticRestart/artifacts/20260622T102123/G4_R_Map_Rate_Diagnosis/20260908T131638861Z/corrected_formal_metrics.csv","R2 diagnosis and R1–R4 checks do not close the full G4 contract or prove detection.","The key engineering success is a fair, traceable test of whether map meaning is preserved.","Shows the project’s evidence quality improved before downstream use.","Primary visual","Use the historical-versus-corrected comparison only; crop surrounding explanatory material and retain the corrected-comparison boundary."
"S07","Act IV — Technical Turning Point","The formal R5A matrix failed overall","The formal R5A matrix failed overall; 59 of 108 rows violated at least one frozen criterion. Downstream work remains stopped and the result is preserved as evidence.","What specifically blocks map-contract progression?","04_MitigationAndMapRateRecovery_V2.html","06_StatusAndFutureWork_V2.html","G4R-003; STAT-003","Blocked","The formal R5A matrix failed overall; 59 of 108 rows violated at least one frozen criterion. Supporting metrics: median correlation 0.5281 versus ≥0.90; Direct Path/off-ridge 28.5053 dB versus ≤6 dB.","Figure 3 — Quantitative recovery dashboard","04_MitigationAndMapRateRecovery_V2.html, Figure 3","file:///C:/Users/pwilliam/agenticProjects/PassiveBistaticRestart/artifacts/20260622T102123/G4_R_R5A_Matrix/20260915T155816449Z/aggregate_criteria_audit.csv","The failed matrix does not select a mitigation product or authorize a replacement matrix.","Lead with the row-count definition of failure; use the other metrics only as supporting context.","Turns a failed test into credible management evidence.","Primary visual","Crop Figure 3 to the R5A aggregate panel and its thresholds; move R1–R4 metrics to appendix notes."
"S08","Act V — Strongest Current Evidence","The strongest experiment is controlled and truth-blind","Real background, fixed injection, fixed CFAR/NMS, untouched controls, and post-hoc truth association make this the strongest current diagnostic package.","What makes the strongest evidence trustworthy?","05_StrongestEvidence_G4RRecoveryStudy.html","04_MitigationAndMapRateRecovery_V2.html","EV-002; EV-003; EV-006","Implemented; Demonstrated","One-second real background; −18 dB injection; 11 slots; 8 available; 320 training cells; 341 footprint cells","Figure 2 — Original atlas delay–Doppler placement map, paired with the outcome-matrix table","05_StrongestEvidence_G4RRecoveryStudy.html, Figure 2 and Section 9","file:///C:/Users/pwilliam/agenticProjects/PassiveBistaticRestart/artifacts/20260622T102123/G4_R_Close_Target_Atlas_Recovery/20260918T134014380Z/delay_doppler_map.png","Controlled synthetic injection is not a live-aircraft trial or operational false-alarm survey.","Explain the controls before the outcome: truth is revealed only after the detector sequence, and unavailable strata remain unavailable.","Establishes why the evidence is strong without inflating it.","Primary visual; Secondary visual","Use a crop of the existing delay–Doppler atlas that shows support regions and anchors; use a simplified excerpt of the existing outcome matrix as a secondary visual, not the full table."
"S09","Act V — Strongest Current Evidence","Support exclusion is not a detector miss","The historical 15 km condition was never searched. Under diagnostic support, the result is 8/8 associated injected targets under native-first frozen NLMS; 0/8 under no mitigation; no associated candidate in the corresponding 16 target-specific control windows.","What does the strongest current evidence actually say?","05_StrongestEvidence_G4RRecoveryStudy.html","04_MitigationAndMapRateRecovery_V2.html; 06_StatusAndFutureWork_V2.html","EV-001; EV-007; EV-008; EV-011","Demonstrated; Supported Diagnostic; Blocked","8/8 associated injected targets under native-first frozen NLMS; 0/8 under no mitigation; no associated candidate in the corresponding 16 target-specific control windows; 15 km +10.766 dB versus −1.933 dB.","Section 9 outcome matrix with the 15 km representative thumbnails","05_StrongestEvidence_G4RRecoveryStudy.html, Sections 9–10","file:///C:/Users/pwilliam/agenticProjects/PassiveBistaticRestart/artifacts/20260622T102123/G4_R_Close_Target_Atlas_Recovery/20260918T134014380Z/detection_outcomes.csv","Not product selection, live-aircraft detection, Pd/Pfa, tracking, or localization; production support remains blocked.","Use the exact three-part outcome language. State immediately that the result is controlled synthetic recovery, not an operational false-alarm result.","Answers the strongest-evidence question precisely and honestly.","Primary visual; Secondary visual","Use a cropped three-row outcome excerpt as the primary visual; use the paired 15 km thumbnails as a secondary visual. Do not compress the control result to a bare count."
"S10","Act VI — Management Decision and Enablement","The project has upstream capability but no downstream release","Replay, synchronization, infrastructure, and a fixed R4 pilot have evidence; formal map closure and collection suitability remain blocked.","What has and has not been demonstrated?","06_StatusAndFutureWork_V2.html","02_HardwareAndCollection_V4.html; 04_MitigationAndMapRateRecovery_V2.html","STAT-001; STAT-002; STAT-003; STAT-006; STAT-007","Demonstrated; Blocked","15 × 1 s baseline; 0.987568 R4 pilot; The formal R5A matrix failed overall; 59 of 108 rows violated at least one frozen criterion; 42.559% sampled opportunity context.","Figure 1 — Current readiness scorecard","06_StatusAndFutureWork_V2.html, Figure 1","06_StatusAndFutureWork_V2.html","No scorecard card is a performance measure; later blocked dependencies are non-additive.","Use the scorecard to separate demonstrated infrastructure/replay from blocked map validity, collection suitability, detection, tracking, and localization.","The one-slide executive status answer.","Primary visual","Crop to the demonstrated and blocked cards only; do not reduce all scorecard details to unreadable text."
