VisualID,EngineeringQuestion,OwnerReport,ExistingVisualTitle,ExistingVisualPath,OriginalSource,QuestionAnswered,ImportantMetric,DecisionRelevance,Readability,HistoricalOrCurrent,MainStorySuitability,TechnicalReferenceSuitability,MissingVisual,CandidateSource,RecommendedAction,Priority,Notes
VIS-01,Candidate tower provenance,"01A","Saved RabbitEars/parser and tower-list provenance",01A source inventory and report-local assets,"Saved RabbitEars page and parser",Candidate tower provenance,"Tower/channel fields",Trace tower screening inputs,Strong,Historical,Yes,Yes,,,Bundle source navigation,P1,Original or source-backed only; no decorative replacement recommended.
VIS-02,Tower and receiver geography,"01A","Candidate transmitter and receiver-site maps",01A_IlluminatorSelection_assets,"Original LinkBudget sources",Tower and receiver geography,"Candidate geometry",Select historical cases for analysis,Strong,Historical,Yes,Yes,,,Bundle retained original maps,P1,Original or source-backed only; no decorative replacement recommended.
VIS-03,Local Site Viewer geometry,"01A","Apple Hill building-footprint geometry",01A_IlluminatorSelection_assets/apple_hill_building_geometry_aoi.png,"Original embedded Live Script output",Local Site Viewer geometry,"No measured power",Retain geometry limitation,Strong,Historical,Technical reference,Yes,Original 3-D ray-path capture,Unrecovered original only,Record known gap; do not recreate,P2,Original or source-backed only; no decorative replacement recommended.
VIS-04,RF Budget Analyzer model,"01B","Recovered RF Budget Analyzer system model",01B_ReceiveChainDesign_assets/rf_budget_analyzer_system_model.png,"LinkBudgetProgress.pptx slide 30",RF Budget Analyzer model,"Stage gain/NF/OIP3",Explain model origin,Strong,Historical,Yes,Yes,,,Bundle original recovered image,P1,Original or source-backed only; no decorative replacement recommended.
VIS-05,Designed system architecture,"01B","Recovered parking-lot designed architecture",01B_ReceiveChainDesign_assets/parking_lot_designed_architecture.png,"MountingDiagramParkingLot.pptx slide 4",Designed system architecture,"Component layout",Explain design translation,Strong,Historical,Yes,Yes,,,Bundle original recovered image,P1,Original or source-backed only; no decorative replacement recommended.
VIS-06,Modeled versus installed hardware,"01B","Cascade and enclosure evidence",01B_ReceiveChainDesign_assets,"Historical RF-budget code and enclosure evidence",Modeled versus installed hardware,"Loss/headroom values",Separate model from installed qualification,Strong,Historical,Yes,Yes,,,Bundle retained originals,P2,Original or source-backed only; no decorative replacement recommended.
VIS-07,Physical deployment,"02","Deployment and receiver photographs",02_HardwareAndCollection_V4.html and HardwarePhotos,"Original deployment photographs",Physical deployment,"Physical presence only",Document infrastructure,Strong,Current infrastructure,Yes,Yes,,,Bundle local media,P1,Original or source-backed only; no decorative replacement recommended.
VIS-08,Collection package anatomy,"02","Manifest, package, and replay evidence",02_HardwareAndCollection_V4.html package/manifests,"Original manifests and replay artifacts",Collection package anatomy,"15 packages",Retain replay provenance,Strong,Current infrastructure,Technical reference,Yes,,,Bundle inventories and manifests,P2,Original or source-backed only; no decorative replacement recommended.
VIS-09,Timing and truth workflow,"02","ADS-B/GPS and truth-separation workflow",02_HardwareAndCollection_V4.html,"Collection and project-state sources",Timing and truth workflow,"No field qualification",Keep truth post hoc,Strong,Current infrastructure,Technical reference,Yes,,,Cross-link to Report 03,P2,Original or source-backed only; no decorative replacement recommended.
VIS-10,Synthetic target declaration,"02A","Declared-truth construction",02A_SyntheticEchoGeneration_V1.html,"SyntheticHDTVSimulation code and manifests",Synthetic target declaration,"Declared truth fields",Declare target before replay,Strong,Mixed,Yes,Yes,,,Bundle retained original/derived evidence,P1,Original or source-backed only; no decorative replacement recommended.
